package,organization,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,package_id,duration_median,project_age,num_users,crowd_pct,crowd,total_issues,gini_coefficient,avg_clustering,avg_min_path,nodes,total_contributors,avg_comments,avg_first_comment,avg_active_time,crowd_pct_2,issues_over_time,avg_clusteringXcrowd_pct,avg_min_pathXcrowd_pct,gini_coefficientXcrowd_pct,issues_per_user,avg_retention_time,giniXavg_min_path,giniXclustering,clusteringXavg_min_path,giniXavg_min_pathXcrowd_pct,giniXclusteringXcrowd_pct,clusteringXavg_min_pathXcrowd_pct,avg_clustering_2,avg_min_path_2,gini_coefficient_2,crowd_pct_3,avg_retention_time_resid
spdlog,gabime,0.021832723059037537,0.11559987533570855,0.019295830976213717,0.01863913527419972,0.024455555605319118,0.2266496575388413,0.060417137116744235,0.022032953063207426,0.03786336720888028,0.031720555362367384,0.029622600390922536,0.017054793587059018,0.032548668858875765,0.02878985235751324,0.04084771667326558,0.01610559541444035,0.02099235005781293,0.035693990478968464,0.0255203957707842,0.028738593626639383,0.06328908889741132,0.03104761952613262,0.015481655132281513,0.017335596359958967,e83045dd2ef847928d6b86c8200c34e7,55.0,1577.0,60,0.8589743589743589,67,78,0.6054657421436883,0.44919959945327337,2.091940173591821,539,9,3.5779816513761467,6.019495412844041,34.8107798165138,0.7378369493754108,4.4514901712111605,0.3858509379919143,1.7969229696237436,0.5200795477388092,1.3,27.1666666666667,1.266598109723968,0.2719749688536237,0.9396986880576572,1.08797529937828,0.23361952452811266,0.8071770782033721,0.20178028014898122,4.376213689887378,0.3665887649096073,0.63378302061734,0.7532764421155648
grav,getgrav,0.016639114506253036,0.015420489180298369,0.02018831758292026,0.04034433043539595,0.024198884618441847,0.012288368358856076,0.03138308234136267,0.021483743285345868,0.01570343000437779,0.01535781731764434,0.04831888802899895,0.1208714966558624,0.021754399479509436,0.01947044236886284,0.025019058186235576,0.013811933798559509,0.016319601799909506,0.033426699996146066,0.022066464079499387,0.014562164020555263,0.03908041047052654,0.051372981581248735,0.2901823399939383,0.04211528895035137,5147b66c72d44630994c8c72b0016760,5.0,1008.0,35,0.75,57,76,0.6468110817973521,0.5714916970181773,2.168678412344893,453,13,3.45414364640884,2.97569060773481,21.6596685082873,0.5625,6.7857142857142865,0.4286187727636329,1.62650880925867,0.4851083113480141,2.1714285714285717,14.5714285714286,1.4027252299593642,0.3696471627865318,1.239381706157669,1.0520439224695233,0.27723537208989885,0.9295362796182518,0.3266027597607161,4.703166056170764,0.418364575535861,0.421875,-0.08199292578100048
nikola,getnikola,0.020387754366579792,0.016272458428523748,0.03392753066138768,0.030696571574289323,0.02744832291176484,0.061203416310911474,0.11036595185800313,0.013135501029382551,0.015902828543275578,0.02643758683188054,0.04986810317199867,0.08266541400933346,0.02545561887533573,0.02808552372441841,0.03432368154476282,0.029589761494767133,0.03135132313323755,0.09831251782566967,0.02973050388454552,0.014758753537010968,0.03337265434139352,0.09361284821616717,0.03484888052140513,0.028077950298878617,170d4a8b6fc64dad8545d46c09cca126,2.0,1480.0,70,0.2803030303030303,74,264,0.605251544571933,0.6428434920791622,2.0546582577039434,198,15,4.2613480055020645,5.07290233837689,23.5543328748281,0.07856978879706153,16.054054054054056,0.1801909788403712,0.5759269358715597,0.1696538420391024,3.7714285714285714,78.5,1.2435850840427884,0.3890820164989281,1.3208236894116903,0.3485806674968422,0.10906086826106316,0.37023088263812526,0.4132477553085319,4.221620555951004,0.36632943220671055,0.02202334989008542,-0.013498120370830898
raven-python,getsentry,0.018473915194801856,0.017878669940172075,0.01805539034371604,0.01810566880013471,0.02958117439546165,0.02229178119881477,0.2397532765263681,0.021800003482319544,0.018375596887502024,0.042627399752314894,0.04209624433706951,0.015470238539761719,0.014351948888466363,0.012027064955798705,0.02470302615433156,0.029102854801589525,0.09128664719543793,0.06559636426465101,0.023321892034176284,0.015321357569231982,0.13181522165968845,0.02781336825620921,0.02656511975064701,0.016066127415811052,7a3208a0502845adb0e166537fd3c208,19.0,1781.0,14,0.9318181818181818,41,44,0.5647809137689068,0.7001299086962082,2.626970227670753,605,3,3.427800269905533,25.4480431848853,81.7543859649123,0.868285123966942,2.2234699606962383,0.6523937785578303,2.4478586212386557,0.5262731241937539,3.1428571428571432,1.0,1.483662645627601,0.39542000959038576,1.8392204256467815,1.3825038288802645,0.3684595543910413,1.7138190329890464,0.4901818890509608,6.9009725770685275,0.31897748055764136,0.8090838655146505,-1.6358959545578167
jQRangeSlider,ghusse,0.013469584679908372,0.023812906509688637,0.013788664218207652,0.022746131808327682,0.01282961702778597,0.019320559084669432,0.016353357693349772,0.01156207312914458,0.014074878599918026,0.013178231452845714,0.022895305582576176,0.36577530308118605,0.02070260287939825,0.10051927649077366,0.012813851465894418,0.013378008747134695,0.1066327767637135,0.02689407847144387,0.012027500034309923,0.011803944980386984,0.017991768562404267,0.018915647755123,0.07690242951185527,0.02121060675179416,dceafa7956954091a712779ec657cf05,5.0,3285.0,25,0.8378378378378378,31,37,0.637668918918919,0.5078442158272106,1.9683514407179967,148,1,4.294685990338166,18.5652173913043,98.69082125603859,0.701972242512783,1.0136986301369864,0.4254910997471224,1.64915931519616,0.5342631482834186,1.48,27.72,1.2551565352551417,0.32383647208576355,0.9996158938837914,1.0516176376461999,0.27132244958536944,0.8375160191999332,0.25790574754915446,3.8744073941766133,0.40662165015522284,0.5881389058890885,-0.9931269274633497
psutil,giampaolo,0.034558083680945366,0.04283241848499633,0.019872336659895653,0.0172194965297551,0.0191597949065592,0.30080346611725683,0.1445719217996471,0.018770536176912864,0.03596637580165099,0.021881373735969902,0.03057262201472837,0.019815598238045053,0.018793112403558857,0.014724034497013138,0.029392390469796126,0.02569422571669244,0.015754224716102404,0.024641371228689486,0.018980743799612503,0.015115225386119653,0.04742869219253525,0.033130453280627414,0.01940416645797103,0.015452516634021609,c2e8d01f93f54ab18b8cf9f0bf2731a9,2.0,1942.0,102,0.3470031545741325,110,317,0.5726258581235698,0.5728426076402616,2.0186806962507897,437,29,4.661157024793388,14.8884297520661,73.2038567493113,0.1204111892843993,14.691040164778581,0.19877819192564286,0.7004885696769302,0.1987029791595984,3.107843137254902,38.6470588235294,1.1559487659680938,0.32802448976974824,1.1563863140333612,0.4011178683170042,0.11382553272767289,0.4012696988759298,0.3281486531280947,4.075071753415573,0.3279003733917547,0.04178306252770953,-0.5520337536837718
chartist-js,gionkunz,0.013268720244565562,0.015078063945197137,0.03524989888170836,0.05208690685323876,0.01466559382611716,0.016509738744517024,0.016434430741901648,0.011202099968879888,0.01165112016382173,0.013626743802533257,0.02930246968928321,0.0781292510790389,0.023780659151324424,0.4286577220589905,0.02012482777638171,0.01573619442155419,0.031104668332283793,0.02271049254721616,0.015976576636408606,0.014043767034402566,0.014155225749681569,0.03456249139955445,0.04356157114666399,0.013621226492380805,21996f32b55542baa605f3429bb9c829,34.0,1863.0,49,0.5535714285714286,62,112,0.576177357661731,0.6700623892488335,2.18879749314532,736,9,3.3083538083538078,36.8538083538084,141.605651105651,0.3064413265306123,5.410628019323672,0.3709273940484614,1.211655755134016,0.3189553229913153,2.2857142857142856,15.1020408163265,1.261135556057091,0.38607477690589914,1.4666308778388104,0.6981286113887468,0.21371996578719418,0.8118849502321986,0.4489836054858553,4.790834465999236,0.33198034748205424,0.16963716290087466,-0.7396361335392936
glfw,glfw,0.02881636409057752,0.051815045424658986,0.016760888336715418,0.058588800697415726,0.013915631387320309,0.16465093472285727,0.1235812447642564,0.013202154578110359,0.03787762908806098,0.02807147147956008,0.020302604244470432,0.06718497305130326,0.0184574432806346,0.04056007795129492,0.019409889432305063,0.026080834612708183,0.021279377182789518,0.021308885189033417,0.0159036125738028,0.013770440925828405,0.032454292806042305,0.031296053427328774,0.10550532898496233,0.01387698537925019,3fccd9f1b3b0419fa028615e9cf39ed6,15.0,1809.0,226,0.6849315068493149,400,584,0.6082121102158587,0.631608392387647,2.228086175190994,644,70,5.071672354948807,8.52673492605233,98.8418657565415,0.4691311690748733,29.054726368159198,0.4326084879367445,1.5260864213636944,0.4165836371341498,2.5840707964601766,63.6238938053097,1.355148994355696,0.3841518731641369,1.407277927213525,0.9281842427093806,0.2631177213452992,0.9638889912421402,0.39892916133450784,4.964368004077232,0.36992197101322793,0.32132271854443356,2.215870030128812
php-pushwoosh,gomoob,0.035301554557536884,0.013120127954490244,0.02856170625666217,0.038933229106929035,0.025552635967370962,0.012248447893427746,0.02052601834668988,0.019956983535760836,0.021001668519250328,0.01365112844524124,0.044112140282748215,0.05223369666735732,0.012248447893427746,0.04717654347299568,0.040410215433146206,0.026266670027267063,0.023510811001723333,0.1011692556147013,0.020412190321592555,0.030498712045711376,0.12097956061423305,0.04238427112690143,0.04661462345581141,0.13568557605087275,858c233c458b4462b2f39ddc0e78f2fa,22.0,1927.0,5,0.09523809523809523,4,42,0.456140350877193,0.3044733044733044,2.019047619047619,15,7,2.830188679245283,33.2641509433962,25.415094339622602,0.009070294784580496,1.9615983393876493,0.02899745756888613,0.19229024943310652,0.04344193817878028,8.4,228.0,0.9209690893901421,0.1388825599351915,0.614746100460386,0.0877113418466802,0.013226910470018238,0.0585472476628939,0.09270399313689352,4.076553287981859,0.20806401969836877,0.0008638375985314759,0.8970881768436935
KlayGE,gongminmin,0.10529171795386708,0.037645053790148465,0.02479684368961237,0.04641096509259307,0.021691878918897026,0.1828570470552553,0.03334662030648553,0.02309330070504185,0.0264461915742493,0.02460142436973525,0.01928565516559915,0.031747701366178015,0.054646043053291966,0.05271590435313005,0.02921345112845302,0.049310563496229316,0.017956718280347006,0.025080146146655987,0.018917618293992498,0.032264413687428745,0.026405520085245368,0.030991283654602183,0.022941402921622448,0.02604944429670771,c4fd9e1bfe3b4fb4a443c8db03927c71,76.0,1489.0,10,0.07633587786259542,10,131,0.4705882352941176,0.2759803921568627,1.8602941176470589,17,1,2.095238095238096,61.19047619047621,3.88888888888889,0.005827166249053086,7.9180658159838835,0.02106720550815746,0.1420071845532106,0.03592276605298608,13.1,91.8,0.875432525951557,0.12987312572087656,0.5134047001153402,0.06682691037798145,0.009913979062662334,0.03919119848208704,0.07616517685505572,3.4606942041522495,0.22145328719723179,0.00044482185107275467,-0.5743132090964865
FreeBuilder,google,0.0327418814970451,0.045284207460558064,0.02311908221270284,0.013627715256234943,0.02424367593649106,0.021050186699091797,0.011977453039497392,0.1418639171292788,0.014533560395378757,0.046801006503700365,0.04033925982611387,0.014260050290107644,0.02379156123883916,0.016879475500402797,0.260477256763493,0.026502349960519547,0.01664036523253575,0.037092074892481,0.04196976513291399,0.021609049888746942,0.017632222007376346,0.037154437302800165,0.013885747634691643,0.017129744720138458,44d18d9f61bf49c1b13f8ddcde47c89a,47.0,1861.0,20,0.192,24,125,0.52785265049416,0.30590398761130466,1.9384436701509875,42,5,2.3664921465968587,48.748691099476396,15.5235602094241,0.036864,6.045137023105856,0.0587335656213705,0.3721811846689896,0.10134770889487872,6.25,93.1,1.0232126291228258,0.16147223065735983,0.5929776484590796,0.19645682479158258,0.03100266828621309,0.11385170850414329,0.09357724963649723,3.7575638623484306,0.2786284206337098,0.007077888,-0.21304946969571595
glog,google,0.02714978376054205,0.11469668670208195,0.01783080438268371,0.015919009641511366,0.039520767352078115,0.2756315832945984,0.04112176947528497,0.025656467812368647,0.027350987705867736,0.027157876170240344,0.02127925731940195,0.012788731014588849,0.016536811490077526,0.019170086720259858,0.03197064043371938,0.016748265956994145,0.021766698393039404,0.035979157965630296,0.027530676497844974,0.049621973080793386,0.046979217324405916,0.03435902812168933,0.021878083707997573,0.01655784815782681,6b07e0fafe704651951d55f56dcfeab4,30.0,1825.0,15,0.8837209302325582,38,43,0.5921868416300488,0.7010334525438656,2.67770154373928,296,3,3.812883435582822,55.2515337423313,94.8650306748466,0.7809626825310979,2.1205479452054794,0.6195179348062069,2.366340899118433,0.5233279065567873,2.8666666666666667,2.13333333333333,1.58569962001487,0.41514278613896044,1.8771583580895863,1.401315943268955,0.3668703691460581,1.6588841304047508,0.4914479015855723,7.170085557343724,0.35068525539977247,0.6901530682832958,-1.1384420700449254
guice,google,0.016327677967967292,0.01884659468181098,0.02279631810764515,0.01408533455911646,0.01841635083131728,0.017598845408427058,0.01647388694285859,0.192134371742854,0.024296252934451062,0.025096859871800846,0.01676275498043815,0.014216831895434415,0.014392028144289585,0.018030614212293468,0.0992625394801537,0.021711016731944054,0.028681090161521205,0.05899540587727513,0.03226144162017848,0.17888920410001002,0.0332878405871144,0.04404610245780067,0.015377066170262537,0.03172586179432848,51a34cab883848979a80f2d0bdba7154,0.0,2076.0,1,0.984375,63,64,0.6126908601135405,0.6500037735280446,2.567646586345381,273,1,3.8226950354609928,15.549645390070902,61.2494089834515,0.968994140625,2.7745664739884397,0.639847464566669,2.527527108433735,0.6031175654242664,64.0,1.0,1.5731735954555475,0.3982513710799446,1.6689799702108998,1.5485927580265546,0.3920286934068205,1.6429021581763545,0.42250490560069753,6.592808992371088,0.37539009006667,0.9538536071777344,-1.489856305138491
leveldb,google,0.03051365106412228,0.12973152800825322,0.017675176427967457,0.02355906994346821,0.022969365839730777,0.1767746671840999,0.06170606948252695,0.03962156109837511,0.018901882038049985,0.02735366289552569,0.04622266031162558,0.017204688505872208,0.0358493053399976,0.01820040942668866,0.03649540487494247,0.012421966773865659,0.020065134808153303,0.03562315736723808,0.024152694620021613,0.027568961996615567,0.07902101179724863,0.040672825718621165,0.02465497233503151,0.012318634196775022,2099b84365704cfcbf9c346ded5cb23b,565.0,2012.0,38,0.5258620689655172,61,116,0.5712211399711399,0.6685034170878935,2.4183307731694828,288,4,3.1954022988505746,76.9720853858785,206.617405582923,0.2765309155766944,5.188866799204772,0.3515405900203578,1.2717084238218832,0.3003835305020649,3.0526315789473686,1.789473684210526,1.38140166107716,0.3818632839835489,1.6166623855126068,0.7264267355664376,0.20080741657755588,0.850141426864388,0.44689681865819014,5.848323728458508,0.3262935907499286,0.1454171193980893,-2.0239401157109334
traceur-compiler,google,0.029011116692789687,0.042683464653137285,0.11126487633974888,0.01580257535355967,0.04482280236365844,0.052047167838627686,0.04788103013569145,0.032128919786812475,0.01915182587851607,0.08886318616746648,0.058166793815645074,0.02364831579642657,0.02122750835264539,0.01662857369858332,0.09201766497925083,0.043496074257651625,0.017384403924145808,0.026886737196127903,0.025405413727026267,0.024085717542703045,0.033404765261006365,0.04375128537367617,0.0522145604363979,0.01969184314929775,79725128ce2946809627225f69e06afb,5.0,2062.0,32,0.4239130434782609,39,92,0.610024073452021,0.6703660614566012,2.114571362905079,229,11,4.364731653888279,1.4578313253011999,15.7327491785323,0.1797022684310019,4.0155189136760425,0.2841769173566027,0.8963943821010661,0.2585971615720524,2.875,60.75,1.2899394364043482,0.40893943551374373,1.417536876219595,0.5468221523887998,0.17335476070691314,0.6009123714409154,0.44939065635283554,4.471412048818244,0.37212937019099673,0.07617813553053343,-0.2120599810185265
yapf,google,0.027416825609038232,0.022799947714124,0.024875519683696716,0.019267247512488025,0.03576876452840898,0.022172033918061447,0.13407809864565534,0.014951991128616263,0.10602684154089063,0.033328854526760994,0.14557152739883278,0.022716753415916547,0.02203830335598313,0.01688375683889756,0.022252091744069485,0.062446323810788025,0.016747824689742622,0.03578962117813735,0.023953897821089244,0.016912819628936083,0.028965714090146814,0.09113119440713947,0.016899192973796315,0.017922024242579937,dd1775e16a864e039652fba48436cbb0,4.0,1816.0,26,0.8,60,75,0.5623369727820924,0.7503027439113252,2.26953301899358,406,9,3.947811447811448,17.6430976430976,67.8720538720539,0.6400000000000001,3.716960352422908,0.6002421951290602,1.815626415194864,0.4498695782256739,2.8846153846153846,15.7307692307692,1.276242327529853,0.42192297368119214,1.7028368515482368,1.0209938620238823,0.33753837894495375,1.3622694812385896,0.5629542075208637,5.150780124302114,0.3162228709577277,0.5120000000000001,-0.13367101166425288
watchdog,gorakhargosh,0.02597097556803461,0.019324440989849503,0.03975348959975513,0.02488018036908861,0.017863298427733015,0.07440801205038883,0.1712947703208348,0.014480046195667663,0.024664967681658063,0.026091037660247098,0.01599969640498597,0.013771662194431112,0.01848112423602093,0.01299684625723264,0.15521566596642875,0.01982685297599617,0.0197426026601714,0.03726028171474583,0.02625390121496446,0.01485396938252739,0.06452276052743594,0.02642640986885051,0.0779797819608339,0.018306643661211125,4b6ee8c5e46741c7aaddc3ca489bcb3b,146.0,3405.0,14,0.5263157894736842,20,38,0.536630510498557,0.7001975293211149,2.7573462125063553,325,6,2.9350348027842226,135.635730858469,176.357308584687,0.27700831024930744,1.0044052863436124,0.3685250154321657,1.4512348486875548,0.2824371107887142,2.7142857142857144,1.928571428571429,1.4796761056385481,0.37574735760941824,1.9306870054798837,0.778776897704499,0.19776176716285168,1.0161510555157283,0.49027658006739355,7.602958135623142,0.28797230479794195,0.1457938474996355,-2.3630433311494516
