package,organization,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,package_id,duration_median,project_age,num_users,crowd_pct,crowd,total_issues,gini_coefficient,avg_clustering,avg_min_path,nodes,total_contributors,avg_comments,avg_first_comment,avg_active_time,crowd_pct_2,issues_over_time,avg_clusteringXcrowd_pct,avg_min_pathXcrowd_pct,gini_coefficientXcrowd_pct,issues_per_user
Codeception,Codeception,0.1804108042675131,0.015298920619458735,0.029829926022884812,0.020268733617123943,0.02083937304922948,0.021828097376561204,0.045142480851356664,0.028656313155910797,0.014383024400910483,0.03703689002129552,0.044281791077092195,0.02745536080041489,0.01093627650460059,0.012301501243484097,0.04574234108380103,0.013087640347733319,0.014694647332834829,0.03139392009379899,0.02314608643230583,0.01507401305686247,0.07848853527858562,0.02283277274744416,0.03914004627633356,0.19801701088919751,42d9a01820dc4f68bd401f6fdd7609a4,24.0,1755.0,121,0.5725190839694656,150,262,0.60608555083189,0.6702849257386168,2.372245374638884,1305,27,3.578928946447322,14.7696884844242,44.7938396919846,0.32777810150923603,13.435897435897436,0.38375091168241415,1.3581557488390554,0.3469955443694026,2.165289256198347
cogcomp-nlp,CogComp,0.04454450256516928,0.04170486926481935,0.023735679575197753,0.02218666510298628,0.023231185959691827,0.026730441273463818,0.04556128275710692,0.07058551199871844,0.0389442897366577,0.03834876874293551,0.08916920869670845,0.02841574327916225,0.026520040006283517,0.027353711002651597,0.06065915863233051,0.020914830499113045,0.04109749663238871,0.07671413628754553,0.034887729026835984,0.040408617200571526,0.0345774587252971,0.043798349300714454,0.014447579729984008,0.0534455653200498,61f9a58b55604f839f5861852cc0f730,25.0,1604.0,9,0.10526315789473684,4,38,0.5432085895965808,0.7066371137999153,1.8795355587808418,53,11,3.449781659388646,18.8318777292576,15.8165938864629,0.011080332409972297,2.1321695760598502,0.07438285408420162,0.19784584829272017,0.05717985153648219,4.222222222222222
alpaka,ComputationalRadiationPhysics,0.03340301054136251,0.20945047346287451,0.01736060347840456,0.011474674367318152,0.033924573983919494,0.2123341883062884,0.017643024810933553,0.015114772222919523,0.018036927239293055,0.0377241729098993,0.017397221481327767,0.014840705283512804,0.022604260873603857,0.027823267720772753,0.0476454743925604,0.015784615484465445,0.016557168354102897,0.04464244718491543,0.032736696507310536,0.02728010988392357,0.03931711747108715,0.040268945384360405,0.01479218520537307,0.01701445532463757,75a36e1058b14c1e97f5429cb325759d,19.0,1935.0,13,0.017857142857142856,8,448,0.40217391304347827,0.8173653131968038,1.6587301587301588,28,11,4.230240549828179,13.6958762886598,21.5395189003436,0.00031887755102040814,20.83720930232558,0.014595809164228639,0.02962018140589569,0.00718167701863354,34.46153846153846
cupla,ComputationalRadiationPhysics,0.03281948866651339,0.17243527566247127,0.019691096476333984,0.015741884313962038,0.02540830560028553,0.16109802646781593,0.01994468155590927,0.017176916581742904,0.05133857163874542,0.03588158236268689,0.012274035208803765,0.014195344838149408,0.029625480391961688,0.02732335303855293,0.058135796524584296,0.020916513967163423,0.016715395746423917,0.03417623554739882,0.05678803286898662,0.03775633906069047,0.04534987100564382,0.02854575369068805,0.012274035208803765,0.01611346262781059,e508b27cb8874b128cd72f83431c1ad4,3.0,1487.0,3,0.0196078431372549,1,51,0.3363095238095238,0.6768518518518518,1.606060606060606,12,4,3.480769230769231,7.01923076923077,32.9230769230769,0.00038446751249519417,3.08675184936113,0.013271604938271604,0.0314913844325609,0.006594304388422035,17.0
SoundJS,CreateJS,0.012963864833597611,0.02241559301823723,0.0310859154687812,0.03743831965677588,0.017050766611212728,0.10292588826731489,0.022011678335904485,0.013563020247349282,0.013073779934005726,0.03447000343747289,0.020186963085615576,0.028388225602985217,0.01886358472907188,0.04961820467165517,0.03412618938777966,0.035212430378286454,0.017331273561738282,0.028253911120126284,0.023256662503711337,0.012356257257329313,0.033484756699855754,0.033888395534926986,0.33133633090460685,0.013798329468804183,1a78200aa1cf40b3bf78f41a7726c922,37.0,2255.0,27,0.863013698630137,63,73,0.5673271156573688,0.5965539392876655,2.368860692572033,212,3,3.208029197080292,29.6094890510949,77.7189781021898,0.744792644023269,2.9135254988913526,0.5148342215770264,2.044359227836138,0.4896110724166334,2.7037037037037037
anaconda,DamnWidget,0.0226069994036783,0.015181084044695812,0.01683828290444989,0.0435151020480719,0.02033645717180049,0.029343003227746075,0.19926063495816435,0.012513067877414276,0.015758325750892033,0.023964319782621438,0.02606146461841156,0.03019088117420027,0.01620411601782377,0.033218623440693686,0.01842915331493417,0.22284328584067467,0.013065998052242117,0.036300334685044934,0.03240470019910408,0.015153298924833879,0.043927270519946306,0.030826334193543702,0.05330359362830807,0.015510572216768121,17479de345a24811b721e67e5fefbf66,2.0,2412.0,81,0.7272727272727273,96,132,0.5844257117553594,0.5581673842263568,2.0388234219420847,536,13,4.846694796061885,7.9873417721519,69.9592123769339,0.5289256198347108,4.925373134328359,0.40593991580098676,1.4827806705033344,0.42503688127662503,1.6296296296296295
pact-jvm,DiUS,0.015024319414849241,0.02540502840628757,0.024200314642090354,0.015060967085761497,0.0328258323198138,0.013839692566742676,0.012863686224854466,0.1954726013907343,0.030355771639509168,0.054274790065776235,0.07077378263555617,0.014644189691889152,0.019809325164888817,0.013195504990659327,0.055376646180735505,0.025784700791863006,0.017422073873694575,0.027028213836769722,0.01894414264759577,0.016365691575344347,0.19152000916940584,0.04583690472804496,0.013867204679090039,0.020195676573946594,54a76c37549142988868a5451b736cbb,39.0,2149.0,137,0.7781569965870307,228,293,0.5522508701605054,0.5636533920945322,2.049641306546739,363,24,3.629287598944591,9.18073878627968,55.6926121372032,0.6055283113373482,12.270823638901813,0.43861083070837326,1.594942723183128,0.4297378784866732,2.1386861313868613
configobj,DiffSK,0.029059696209151296,0.020613422605674715,0.0238964069634676,0.013298928004223854,0.03932369814428967,0.028457987777073868,0.14316503518493845,0.012510147772263735,0.019836090388707817,0.02307629139686469,0.21500760292401538,0.017303825862472876,0.02177809409040492,0.010245035076513887,0.03672041979734786,0.016264666337519884,0.019979963509831576,0.06848102340300102,0.06706187900272198,0.016692045447416603,0.035526763397501784,0.07302870172425173,0.010538960946723819,0.01130659164628014,227afd7c4f2946f1a942429a39eb4707,6.0,2246.0,10,0.6060606060606061,20,33,0.5222929936305732,0.6752679749495071,2.3812612612612614,75,5,3.4014084507042255,17.5704225352113,140.56338028169,0.36730945821854916,1.3223508459483526,0.4092533181512164,1.4431886431886434,0.3165412082609535,3.3
raphael,DmitryBaranovskiy,0.016828753118719078,0.024205961186471087,0.03795005098582606,0.041363110468659314,0.03544915316299508,0.030698762972509227,0.020083164077308653,0.012931393659729127,0.016478864436733052,0.0296050444339177,0.029306235546619507,0.14723983836760857,0.05339024932742248,0.18810842721697796,0.02341297503413465,0.016807602280054647,0.02092285372946464,0.03293748503906061,0.018143750385119947,0.01361292238747812,0.018122818382035128,0.04560038121417165,0.09166309102171001,0.01952765733336592,dacca26650074f6ba1aeb7e58764f057,552.0,3574.0,30,0.967741935483871,60,62,0.5724037406368426,0.7576448778227216,2.8217988069728386,657,2,2.5651577503429355,109.124828532236,137.684499314129,0.9365244536940688,1.5612758813654168,0.7332047204736015,2.730773039005973,0.5539391038421058,2.066666666666667
dozer,DozerMapper,0.03517484519111573,0.0328998626446443,0.025442529259035822,0.018043940558602086,0.025742257349803798,0.019960140362076582,0.0208555447716327,0.19855554780663281,0.04540431518336666,0.0227308164037703,0.04794689885371166,0.015341247472392976,0.019715936784250813,0.016891885074008194,0.13247844424083463,0.03952225486396766,0.02078983498218118,0.058189592043273765,0.05667067639315959,0.019609982470722227,0.015780530218034983,0.03244767890113299,0.012081976252470593,0.03650107685491809,cf29e2af1da44d20840cac6a76073725,115.0,2742.0,20,0.2631578947368421,25,95,0.6047647248842468,0.6630588914403557,2.228818499805674,251,15,3.4106280193236715,306.067632850242,239.765700483092,0.06925207756232686,3.1181619256017505,0.17448918195798832,0.5865311841593879,0.1591486118116439,4.75
